Z_SCORE	ID_STUDY	GENE_NAME
-0.128	377	39340
-0.243	377	A1BG
-0.136	377	A1CF
-0.124	377	A2LD1
-0.312	377	A2M
-0.24	377	A2ML1
-0.35200000000000004	377	A4GALT
-0.274	377	A4GNT
-0.08	377	AAAS
-0.162	377	AACS
-0.14800000000000002	377	AADAC
-0.21600000000000005	377	AADACL2
-0.11	377	AADACL3
-0.13	377	AADACL4
-0.468	377	AADAT
-0.024	377	AAGAB
-0.214	377	AAK1
0.001	377	AAMP
-0.314	377	AANAT
-0.095	377	AARS
-0.003	377	AARS2
0.036000000000000004	377	AASDH
0.034	377	AASDHPPT
-0.338	377	AASS
-0.241	377	AATK
-0.257	377	ABAT
-0.271	377	ABCA1
-0.247	377	ABCA10
-0.3	377	ABCA12
-0.359	377	ABCA13_ENST00000435803
-0.282	377	ABCA2
-0.35	377	ABCA3
-0.315	377	ABCA4
-0.166	377	ABCA5
-0.287	377	ABCA6
-0.18600000000000005	377	ABCA7
-0.141	377	ABCA8
-0.297	377	ABCA9
-0.269	377	ABCB1
-0.306	377	ABCB10
-0.239	377	ABCB11
-0.262	377	ABCB4
-0.391	377	ABCB5
-0.355	377	ABCB6
0.002	377	ABCB7
-0.304	377	ABCB8
-0.233	377	ABCB9
-0.136	377	ABCC1
-0.05	377	ABCC10
-0.225	377	ABCC11
-0.127	377	ABCC12
-0.269	377	ABCC2
-0.326	377	ABCC3
-0.266	377	ABCC4
-0.128	377	ABCC5
-0.315	377	ABCC6
-0.181	377	ABCC8
-0.319	377	ABCC9
-0.071	377	ABCD1
-0.33	377	ABCD2
-0.128	377	ABCD3
-0.084	377	ABCD4
-0.087	377	ABCE1
-0.129	377	ABCF1
-0.104	377	ABCF2
0.02	377	ABCF3
-0.198	377	ABCG1
-0.363	377	ABCG2
-0.278	377	ABCG4
-0.319	377	ABCG5
-0.325	377	ABCG8
-0.203	377	ABHD1
-0.13699999999999998	377	ABHD10
-0.211	377	ABHD11
-0.232	377	ABHD12
